timestamp,block,protocol,supply_rate,borrow_rate,tvl_whype,utilization_pct,tvl_usd,hype_price_usd
2025-06-01T02:10:00+00:00,4636119,HyperFi,3.340469,4.612758,1540255.862482,90.519659,,
2025-06-01T02:10:00+00:00,4636119,HyperLend,3.276460,5.067928,4497726.001802,80.802131,,
2025-06-01T02:15:00+00:00,4636119,HyperFi,3.340469,4.612758,1540255.862482,90.519659,,
2025-06-01T02:15:00+00:00,4636119,HyperLend,3.276460,5.067928,4497726.001802,80.802131,,
2025-06-01T02:20:00+00:00,4636119,HyperFi,3.340469,4.612758,1540255.862482,90.519659,,
2025-06-01T02:20:00+00:00,4636119,HyperLend,3.276460,5.067928,4497726.001802,80.802131,,
2025-06-01T02:25:00+00:00,4636119,HyperFi,3.340469,4.612758,1540255.862482,90.519659,,
2025-06-01T02:25:00+00:00,4636119,HyperLend,3.276460,5.067928,4497726.001802,80.802131,,
2025-06-01T02:30:00+00:00,4636119,HyperFi,3.340469,4.612758,1540255.862482,90.519659,,
2025-06-01T02:30:00+00:00,4636119,HyperLend,3.276460,5.067928,4497726.001802,80.802131,,
2025-06-01T02:35:00+00:00,4636119,HyperFi,3.340469,4.612758,1540255.862482,90.519659,,
2025-06-01T02:35:00+00:00,4636119,HyperLend,3.276460,5.067928,4497726.001802,80.802131,,
2025-06-01T02:40:00+00:00,4636119,HyperFi,3.340469,4.612758,1540255.862482,90.519659,,
2025-06-01T02:40:00+00:00,4636119,HyperLend,3.276460,5.067928,4497726.001802,80.802131,,
2025-06-01T02:45:00+00:00,4636119,HyperFi,3.340469,4.612758,1540255.862482,90.519659,,
2025-06-01T02:45:00+00:00,4636119,HyperLend,3.276460,5.067928,4497726.001802,80.802131,,
2025-06-01T02:50:00+00:00,4636119,HyperFi,3.340469,4.612758,1540255.862482,90.519659,,
2025-06-01T02:50:00+00:00,4636119,HyperLend,3.276460,5.067928,4497726.001802,80.802131,,
2025-06-01T02:55:00+00:00,4636119,HyperFi,3.340469,4.612758,1540255.862482,90.519659,,
2025-06-01T02:55:00+00:00,4636119,HyperLend,3.276460,5.067928,4497726.001802,80.802131,,
2025-06-01T03:00:00+00:00,4639740,HyperFi,3.340469,4.612758,1540255.872272,90.519659,50170127.285066,32.572593
2025-06-01T03:00:00+00:00,4639740,HyperLend,3.276460,5.067928,4497726.034513,80.802132,146502598.501437,32.572593
2025-06-01T03:05:00+00:00,4639740,HyperFi,3.340469,4.612758,1540255.872272,90.519659,,
2025-06-01T03:05:00+00:00,4639740,HyperLend,3.276460,5.067928,4497726.034513,80.802132,,
2025-06-01T03:10:00+00:00,4639740,HyperFi,3.340469,4.612758,1540255.872272,90.519659,,
2025-06-01T03:10:00+00:00,4639740,HyperLend,3.276460,5.067928,4497726.034513,80.802132,,
2025-06-01T03:15:00+00:00,4639740,HyperFi,3.340469,4.612758,1540255.872272,90.519659,,
2025-06-01T03:15:00+00:00,4639740,HyperLend,3.276460,5.067928,4497726.034513,80.802132,,
2025-06-01T03:20:00+00:00,4639740,HyperFi,3.340469,4.612758,1540255.872272,90.519659,,
2025-06-01T03:20:00+00:00,4639740,HyperLend,3.276460,5.067928,4497726.034513,80.802132,,
2025-06-01T03:25:00+00:00,4639740,HyperFi,3.340469,4.612758,1540255.872272,90.519659,,
2025-06-01T03:25:00+00:00,4639740,HyperLend,3.276460,5.067928,4497726.034513,80.802132,,
2025-06-01T03:30:00+00:00,4639740,HyperFi,3.340469,4.612758,1540255.872272,90.519659,,
2025-06-01T03:30:00+00:00,4639740,HyperLend,3.276460,5.067928,4497726.034513,80.802132,,
2025-06-01T03:35:00+00:00,4639740,HyperFi,3.340469,4.612758,1540255.872272,90.519659,,
2025-06-01T03:35:00+00:00,4639740,HyperLend,3.276460,5.067928,4497726.034513,80.802132,,
2025-06-01T03:40:00+00:00,4639740,HyperFi,3.340469,4.612758,1540255.872272,90.519659,,
2025-06-01T03:40:00+00:00,4639740,HyperLend,3.276460,5.067928,4497726.034513,80.802132,,
2025-06-01T03:45:00+00:00,4639740,HyperFi,3.340469,4.612758,1540255.872272,90.519659,,
2025-06-01T03:45:00+00:00,4639740,HyperLend,3.276460,5.067928,4497726.034513,80.802132,,
2025-06-01T03:50:00+00:00,4639740,HyperFi,3.340469,4.612758,1540255.872272,90.519659,,
2025-06-01T03:50:00+00:00,4639740,HyperLend,3.276460,5.067928,4497726.034513,80.802132,,
2025-06-01T03:55:00+00:00,4639740,HyperFi,3.340469,4.612758,1540255.872272,90.519659,,
2025-06-01T03:55:00+00:00,4639740,HyperLend,3.276460,5.067928,4497726.034513,80.802132,,
2025-06-01T04:00:00+00:00,4643368,HyperFi,3.340469,4.612758,1540255.883692,90.519660,49953391.176372,32.431878
2025-06-01T04:00:00+00:00,4643368,HyperLend,3.276460,5.067928,4497726.067224,80.802132,145869703.871289,32.431878
2025-06-01T04:05:00+00:00,4643368,HyperFi,3.340469,4.612758,1540255.883692,90.519660,,
2025-06-01T04:05:00+00:00,4643368,HyperLend,3.276460,5.067928,4497726.067224,80.802132,,
2025-06-01T04:10:00+00:00,4643368,HyperFi,3.340469,4.612758,1540255.883692,90.519660,,
2025-06-01T04:10:00+00:00,4643368,HyperLend,3.276460,5.067928,4497726.067224,80.802132,,
2025-06-01T04:15:00+00:00,4643368,HyperFi,3.340469,4.612758,1540255.883692,90.519660,,
2025-06-01T04:15:00+00:00,4643368,HyperLend,3.276460,5.067928,4497726.067224,80.802132,,
2025-06-01T04:20:00+00:00,4643368,HyperFi,3.340469,4.612758,1540255.883692,90.519660,,
2025-06-01T04:20:00+00:00,4643368,HyperLend,3.276460,5.067928,4497726.067224,80.802132,,
2025-06-01T04:25:00+00:00,4643368,HyperFi,3.340469,4.612758,1540255.883692,90.519660,,
2025-06-01T04:25:00+00:00,4643368,HyperLend,3.276460,5.067928,4497726.067224,80.802132,,
2025-06-01T04:30:00+00:00,4643368,HyperFi,3.340469,4.612758,1540255.883692,90.519660,,
2025-06-01T04:30:00+00:00,4643368,HyperLend,3.276460,5.067928,4497726.067224,80.802132,,
2025-06-01T04:35:00+00:00,4643368,HyperFi,3.340469,4.612758,1540255.883692,90.519660,,
2025-06-01T04:35:00+00:00,4643368,HyperLend,3.276460,5.067928,4497726.067224,80.802132,,
2025-06-01T04:40:00+00:00,4643368,HyperFi,3.340469,4.612758,1540255.883692,90.519660,,
2025-06-01T04:40:00+00:00,4643368,HyperLend,3.276460,5.067928,4497726.067224,80.802132,,
2025-06-01T04:45:00+00:00,4643368,HyperFi,3.340469,4.612758,1540255.883692,90.519660,,
2025-06-01T04:45:00+00:00,4643368,HyperLend,3.276460,5.067928,4497726.067224,80.802132,,
2025-06-01T04:50:00+00:00,4643368,HyperFi,3.340469,4.612758,1540255.883692,90.519660,,
2025-06-01T04:50:00+00:00,4643368,HyperLend,3.276460,5.067928,4497726.067224,80.802132,,
2025-06-01T04:55:00+00:00,4643368,HyperFi,3.340469,4.612758,1540255.883692,90.519660,,
2025-06-01T04:55:00+00:00,4643368,HyperLend,3.276460,5.067928,4497726.067224,80.802132,,
2025-06-01T05:00:00+00:00,4646996,HyperFi,3.340469,4.612758,1540255.895113,90.519660,,
2025-06-01T05:00:00+00:00,4646996,HyperLend,3.276460,5.067928,4497726.095261,80.802132,,
2025-06-01T05:05:00+00:00,4646996,HyperFi,3.340469,4.612758,1540255.895113,90.519660,51071915.797879,33.158072
2025-06-01T05:05:00+00:00,4646996,HyperLend,3.276460,5.067928,4497726.095261,80.802132,149135925.496511,33.158072
2025-06-01T05:10:00+00:00,4646996,HyperFi,3.340469,4.612758,1540255.895113,90.519660,,
2025-06-01T05:10:00+00:00,4646996,HyperLend,3.276460,5.067928,4497726.095261,80.802132,,
2025-06-01T05:15:00+00:00,4646996,HyperFi,3.340469,4.612758,1540255.895113,90.519660,,
2025-06-01T05:15:00+00:00,4646996,HyperLend,3.276460,5.067928,4497726.095261,80.802132,,
2025-06-01T05:20:00+00:00,4646996,HyperFi,3.340469,4.612758,1540255.895113,90.519660,,
2025-06-01T05:20:00+00:00,4646996,HyperLend,3.276460,5.067928,4497726.095261,80.802132,,
2025-06-01T05:25:00+00:00,4646996,HyperFi,3.340469,4.612758,1540255.895113,90.519660,,
2025-06-01T05:25:00+00:00,4646996,HyperLend,3.276460,5.067928,4497726.095261,80.802132,,
2025-06-01T05:30:00+00:00,4646996,HyperFi,3.340469,4.612758,1540255.895113,90.519660,,
2025-06-01T05:30:00+00:00,4646996,HyperLend,3.276460,5.067928,4497726.095261,80.802132,,
2025-06-01T05:35:00+00:00,4646996,HyperFi,3.340469,4.612758,1540255.895113,90.519660,,
2025-06-01T05:35:00+00:00,4646996,HyperLend,3.276460,5.067928,4497726.095261,80.802132,,
2025-06-01T05:40:00+00:00,4646996,HyperFi,3.340469,4.612758,1540255.895113,90.519660,,
2025-06-01T05:40:00+00:00,4646996,HyperLend,3.276460,5.067928,4497726.095261,80.802132,,
2025-06-01T05:45:00+00:00,4646996,HyperFi,3.340469,4.612758,1540255.895113,90.519660,,
2025-06-01T05:45:00+00:00,4646996,HyperLend,3.276460,5.067928,4497726.095261,80.802132,,
2025-06-01T05:50:00+00:00,4646996,HyperFi,3.340469,4.612758,1540255.895113,90.519660,,
2025-06-01T05:50:00+00:00,4646996,HyperLend,3.276460,5.067928,4497726.095261,80.802132,,
